text,label
"I'm feeling great today!", 😊
"The news was heartbreaking.", 😢
"This movie is so exciting!", 😃
"My vacation was amazing!", 😄
"I'm stressed about my upcoming exam.", 😟
"She got promoted! So proud of her.", 😊
"I can't wait to see you!", 😍
"It's been a tough day at work.", 😔
"That joke was hilarious!", 😂
"I'm feeling anxious about the interview.", 😬
"The sunset was breathtaking.", 😊
"I miss you so much.", 😢
"I'm frustrated with this project.", 😠
"Thank you for your kind words.", 😊
"The concert was electrifying!", 😄
"I'm worried about the future.", 😟
"Her smile brightened my day.", 😊
"This book is incredibly moving.", 😭
"I'm so excited to start this journey!", 😃
"I feel lonely without you.", 😞
"The surprise party made me tear up.", 😊
"The storm ruined our plans.", 😕
"I'm proud of my accomplishments.", 😊
"The new job offer is a relief.", 😌
"I'm annoyed by the constant interruptions.", 😒
"She's such a supportive friend.", 😊
"I'm overwhelmed by all the responsibilities.", 😩
"The puppy video made me smile.", 😊
"I'm devastated by the loss.", 😭
"I'm feeling motivated to exercise.", 💪
"The traffic jam stressed me out.", 😫
"I'm looking forward to the weekend.", 😄
"He surprised me with flowers.", 😍
"The rejection letter was disappointing.", 😞
"I'm inspired by her dedication.", 😊
"The party was a blast!", 🎉
"I'm nervous about the presentation.", 😬
"The sunrise was breathtaking.", 😊
"I'm so grateful for your help.", 😊
"The loss hit me hard.", 😢
